"ID

※入力不要","word
称号用ワード","furigana
ふりがな","publish_type
配布・販売種別

 'shop'
 => '一般称号(販売)',
 'login'     
=> '一般称号(期間内ログインで配布)',
'medal'    
 => 'メダル称号',
 'record'    
=> '特別称号(実績に応じて配布)',
 'evet'     
 => '特別称号(イベント時プレイにより配布)'
 'special'  
 => '特別称号(手動配布)',
","index
販売・設定用索引キー

a:あ行
ka:か行
sa:さ行
taた行
naな行
haは行
maま行
yaや行
raら行
waわ行
English:英語
number:数字
symbol:記号
other:その他
medal:メダル
special:特別","sub_index
サブ索引キー

あ,い,う,え,お などの2番目の索引。indexがひらがなのもののみ記入してください

あかさたな・・
a,ka,sa,ta,na,. ..
いきしちに・・
i,ki,si,ti,ni, ...
うくすつぬ・・
u,ku,su,tu,nu...
・・・","publish_start
配布開始日時

「一般称号(期間内ログインで配布)」「特別称号(イベント時プレイにより配布)」で使
用","publish_end
配布終了日時

「一般称号(期間内ログインで配布)」「特別称号(イベント時プレイにより配布)」で使
用","event_key
対応するイベントNO

「特別称号(イベント時プレイにより配布)」で使用

※Dcode内のイベントフラグと
連動しますので、これ単独で設定をしても配布されることはありません

※本来はNOが入るがとりあえず、今は名前で代用","medal_key
対応するメダルNO

「メダル称号」で使用<br />

※Dcode内のメダルフラグと連動しますので、これ単独で設
定をしても配布されることはありません","record_key
対応する実績条件キー

「特別称号(実績に応じて配布)」で使用

※TAITO様からお送りいただく月間戦績な
どのデータと連動しますので、これ単独で設定をしても配布されることはありません

※本来は条件キーが入るが、今は名前で代用","publish_status
配布ステータス

1:配布中
0:配布停止

一般称号（販売用）とイベント称号の時に使用。
これが0の時には、販売や配布を停止する

後から追加予定のものはここを0にして書いておいて頂いても大丈夫です","use_status
使用ステータス

1:称号に使用可
0:不可

0の場合には称号設定画面で選択できない

基本的には使うことはない想定のステータスだが、念のため用意

後から追加予定のものはここを0にして書いておいても大丈夫です",タイムスタンプ,メモ,メモ
,母さん,かあさん,shop,ka,ka,,,,,,1,1,,,
,母ちゃん,かあちゃん,shop,ka,ka,,,,,,1,1,,,
,貝,かい,shop,ka,ka,,,,,,1,1,,,
,会,かい,shop,ka,ka,,,,,,1,1,,,
,買い,かい,shop,ka,ka,,,,,,1,1,,,
,飼い,かい,shop,ka,ka,,,,,,1,1,,,
,下位,かい,shop,ka,ka,,,,,,1,1,,,
,甲斐,かい,shop,ka,ka,,,,,,1,1,,,
,回,かい,shop,ka,ka,,,,,,1,1,,,
,界,かい,shop,ka,ka,,,,,,1,1,,,
,海,かい,shop,ka,ka,,,,,,1,1,,,
,階,かい,shop,ka,ka,,,,,,1,1,,,
,怪,かい,shop,ka,ka,,,,,,1,1,,,
,塊,かい,shop,ka,ka,,,,,,1,1,,,
,魁,かい,shop,ka,ka,,,,,,1,1,,,
,改,かい,shop,ka,ka,,,,,,1,1,,,
,壊,かい,shop,ka,ka,,,,,,1,1,,,
,開催中,かいさいちゅう,shop,ka,ka,,,,,,1,1,,,
,会社,かいしゃ,shop,ka,ka,,,,,,1,1,,,
,顔,かお,shop,ka,ka,,,,,,1,1,,,
,貌,かお,shop,ka,ka,,,,,,1,1,,,
,カカオ,かかお,shop,ka,ka,,,,,,1,1,,,
,柿,かき,shop,ka,ka,,,,,,1,1,,,
,火器,かき,shop,ka,ka,,,,,,1,1,,,
,牡蠣,かき,shop,ka,ka,,,,,,1,1,,,
,核,かく,shop,ka,ka,,,,,,1,1,,,
,過去,かこ,shop,ka,ka,,,,,,1,1,,,
,傘,かさ,shop,ka,ka,,,,,,1,1,,,
,化した,かした,shop,ka,ka,,,,,,1,1,,,
,加勢,かせい,shop,ka,ka,,,,,,1,1,,,
,家政婦,かせいふ,shop,ka,ka,,,,,,1,1,,,
,過疎,かそ,shop,ka,ka,,,,,,1,1,,,
,肩,かた,shop,ka,ka,,,,,,1,1,,,
,過多,かた,shop,ka,ka,,,,,,1,1,,,
,勝ち,がち,shop,ka,ka,,,,,,1,1,,,
,ガチ,がち,shop,ka,ka,,,,,,1,1,,,
,カツ,かつ,shop,ka,ka,,,,,,1,1,,,
,勝つ,かつ,shop,ka,ka,,,,,,1,1,,,
,糧,かて,shop,ka,ka,,,,,,1,1,,,
,下等,かとう,shop,ka,ka,,,,,,1,1,,,
,カナダ,かなだ,shop,ka,ka,,,,,,1,1,,,
,必ず,かならず,shop,ka,ka,,,,,,1,1,,,
,カナリア,かなりあ,shop,ka,ka,,,,,,1,1,,,
,蟹,かに,shop,ka,ka,,,,,,1,1,,,
,神,かみ,shop,ka,ka,,,,,,1,1,,,
,亀,かめ,shop,ka,ka,,,,,,1,1,,,
,仮面,かめん,shop,ka,ka,,,,,,1,1,,,
,鴨,かも,shop,ka,ka,,,,,,1,1,,,
,カモメ,かもめ,shop,ka,ka,,,,,,1,1,,,
,狩,かり,shop,ka,ka,,,,,,1,1,,,
,仮,かり,shop,ka,ka,,,,,,1,1,,,
,借り,がり,shop,ka,ka,,,,,,1,1,,,
,彼,かれ,shop,ka,ka,,,,,,1,1,,,
,枯れ,かれ,shop,ka,ka,,,,,,1,1,,,
,カレー,かれー,shop,ka,ka,,,,,,1,1,,,
,川,がわ,shop,ka,ka,,,,,,1,1,,,
,艦,かん,shop,ka,ka,,,,,,1,1,,,
,カンザス,かんざす,shop,ka,ka,,,,,,1,1,,,
,艦隊,かんたい,shop,ka,ka,,,,,,1,1,,,
,き,き,shop,ka,ki,,,,,,1,1,,,
,キ,き,shop,ka,ki,,,,,,1,1,,,
,木,き,shop,ka,ki,,,,,,1,1,,,
,気,き,shop,ka,ki,,,,,,1,1,,,
,樹,き,shop,ka,ki,,,,,,1,1,,,
,ぎ,ぎ,shop,ka,ki,,,,,,1,1,,,
,ギ,ぎ,shop,ka,ki,,,,,,1,1,,,
,魏,ぎ,shop,ka,ki,,,,,,1,1,,,
,気合,きあい,shop,ka,ki,,,,,,1,1,,,
,効かない,きかない,shop,ka,ki,,,,,,1,1,,,
,効く,きく,shop,ka,ki,,,,,,1,1,,,
,機構,きこう,shop,ka,ki,,,,,,1,1,,,
,貴様,きさま,shop,ka,ki,,,,,,1,1,,,
,軋む,きしむ,shop,ka,ki,,,,,,1,1,,,
,キス,きす,shop,ka,ki,,,,,,1,1,,,
,基礎,きそ,shop,ka,ki,,,,,,1,1,,,
,北,きた,shop,ka,ki,,,,,,1,1,,,
,基地,きち,shop,ka,ki,,,,,,1,1,,,
,来て,きて,shop,ka,ki,,,,,,1,1,,,
,祈祷,きとう,shop,ka,ki,,,,,,1,1,,,
,きな臭い,きなくさい,shop,ka,ki,,,,,,1,1,,,
,機能,きのう,shop,ka,ki,,,,,,1,1,,,
,キメラ,きめら,shop,ka,ki,,,,,,1,1,,,
,着物,きもの,shop,ka,ki,,,,,,1,1,,,
,キャプテン,きゃぷてん,shop,ka,ki,,,,,,1,1,,,
,キュア,きゅあ,shop,ka,ki,,,,,,1,1,,,
,九,きゅう,shop,ka,ki,,,,,,1,1,,,
,キラキラ,きらきら,shop,ka,ki,,,,,,1,1,,,
,切り札,きりふだ,shop,ka,ki,,,,,,1,1,,,
,キリン,きりん,shop,ka,ki,,,,,,1,1,,,
,麒麟,きりん,shop,ka,ki,,,,,,1,1,,,
,ギルティ,ぎるてぃ,shop,ka,ki,,,,,,1,1,,,
,キレ,きれ,shop,ka,ki,,,,,,1,1,,,
,きわどい,きわどい,shop,ka,ki,,,,,,1,1,,,
,金,きん,shop,ka,ki,,,,,,1,1,,,
,緊張,きんちょう,shop,ka,ki,,,,,,1,1,,,
,く,く,shop,ka,ku,,,,,,1,1,,,
,ク,く,shop,ka,ku,,,,,,1,1,,,
,ぐ,ぐ,shop,ka,ku,,,,,,1,1,,,
,グ,ぐ,shop,ka,ku,,,,,,1,1,,,
,食い入る,くいいる,shop,ka,ku,,,,,,1,1,,,
,クイーン,くいーん,shop,ka,ku,,,,,,1,1,,,
,食う,くう,shop,ka,ku,,,,,,1,1,,,
,喰う,くう,shop,ka,ku,,,,,,1,1,,,
,空母,くうぼ,shop,ka,ku,,,,,,1,1,,,
,食え,くえ,shop,ka,ku,,,,,,1,1,,,
,草,ぐさ,shop,ka,ku,,,,,,1,1,,,
,癖,ぐせ,shop,ka,ku,,,,,,1,1,,,
,くたびれた,くたびれた,shop,ka,ku,,,,,,1,1,,,
,口,ぐち,shop,ka,ku,,,,,,1,1,,,
,駆逐艦,くちくかん,shop,ka,ku,,,,,,1,1,,,
,靴,ぐつ,shop,ka,ku,,,,,,1,1,,,
,国,くに,shop,ka,ku,,,,,,1,1,,,
,くノ一,くのいち,shop,ka,ku,,,,,,1,1,,,
,熊,ぐま,shop,ka,ku,,,,,,1,1,,,
,くやしい,くやしい,shop,ka,ku,,,,,,1,1,,,
,クライマックス,くらいまっくす,shop,ka,ku,,,,,,1,1,,,
,栗,くり,shop,ka,ku,,,,,,1,1,,,
,呉,くれ,shop,ka,ku,,,,,,1,1,,,
,グレート,ぐれーと,shop,ka,ku,,,,,,1,1,,,
,クレイジー,くれいじー,shop,ka,ku,,,,,,1,1,,,
,黒,ぐろ,shop,ka,ku,,,,,,1,1,,,
,詳しい,くわしい,shop,ka,ku,,,,,,1,1,,,
,け,け,shop,ka,ke,,,,,,1,1,,,
,ケ,け,shop,ka,ke,,,,,,1,1,,,
,げ,げ,shop,ka,ke,,,,,,1,1,,,
,ゲ,げ,shop,ka,ke,,,,,,1,1,,,
,毛,げ,shop,ka,ke,,,,,,1,1,,,
,ケア,けあ,shop,ka,ke,,,,,,1,1,,,
,刑,けい,shop,ka,ke,,,,,,1,1,,,
,系,けい,shop,ka,ke,,,,,,1,1,,,
,下段,げだん,shop,ka,ke,,,,,,1,1,,,
,獣,けもの,shop,ka,ke,,,,,,1,1,,,
,蹴り,けり,shop,ka,ke,,,,,,1,1,,,
,県,けん,shop,ka,ke,,,,,,1,1,,,
,券,けん,shop,ka,ke,,,,,,1,1,,,
,剣,けん,shop,ka,ke,,,,,,1,1,,,
,件,けん,shop,ka,ke,,,,,,1,1,,,
,研究,けんきゅう,shop,ka,ke,,,,,,1,1,,,
,研究会,けんきゅうかい,shop,ka,ke,,,,,,1,1,,,
,こ,こ,shop,ka,ko,,,,,,1,1,,,
,コ,こ,shop,ka,ko,,,,,,1,1,,,
,ご,ご,shop,ka,ko,,,,,,1,1,,,
,ゴ,ご,shop,ka,ko,,,,,,1,1,,,
,五,ご,shop,ka,ko,,,,,,1,1,,,
,子,ご,shop,ka,ko,,,,,,1,1,,,
,個,こ,shop,ka,ko,,,,,,1,1,,,
,恋,こい,shop,ka,ko,,,,,,1,1,,,
,粉,こな,shop,ka,ko,,,,,,1,1,,,
,コア,こあ,shop,ka,ko,,,,,,1,1,,,
,子犬,こいぬ,shop,ka,ko,,,,,,1,1,,,
,高校生,こうこうせい,shop,ka,ko,,,,,,1,1,,,
,高校生は,こうこうせいは,shop,ka,ko,,,,,,1,1,,,
,声,こえ,shop,ka,ko,,,,,,1,1,,,
,コーカサス,こーかさす,shop,ka,ko,,,,,,1,1,,,
,コーヒー,こーひー,shop,ka,ko,,,,,,1,1,,,
,氷,こおり,shop,ka,ko,,,,,,1,1,,,
,国民,こくみん,shop,ka,ko,,,,,,1,1,,,
,苔,ごけ,shop,ka,ko,,,,,,1,1,,,
,ここ,ここ,shop,ka,ko,,,,,,1,1,,,
,コサック,こさっく,shop,ka,ko,,,,,,1,1,,,
,腰,ごし,shop,ka,ko,,,,,,1,1,,,
,小手,こて,shop,ka,ko,,,,,,1,1,,,
,コネ,こね,shop,ka,ko,,,,,,1,1,,,
,この,この,shop,ka,ko,,,,,,1,1,,,
,コマ,こま,shop,ka,ko,,,,,,1,1,,,
,ゴマ,ごま,shop,ka,ko,,,,,,1,1,,,
,コマンド,こまんど,shop,ka,ko,,,,,,1,1,,,
,コモド,こもど,shop,ka,ko,,,,,,1,1,,,
,小屋,こや,shop,ka,ko,,,,,,1,1,,,
,コラ,こら,shop,ka,ko,,,,,,1,1,,,
,ゴリラ,ごりら,shop,ka,ko,,,,,,1,1,,,
,コレクション,これくしょん,shop,ka,ko,,,,,,1,1,,,
,コロンビア,ころんびあ,shop,ka,ko,,,,,,1,1,,,
,怖い,こわい,shop,ka,ko,,,,,,1,1,,,
,コンガ,こんが,shop,ka,ko,,,,,,1,1,,,
,コンボ,こんぼ,shop,ka,ko,,,,,,1,1,,,
,さ,さ,shop,sa,sa,,,,,,1,1,,,
,サ,さ,shop,sa,sa,,,,,,1,1,,,
,ざ,ざ,shop,sa,sa,,,,,,1,1,,,
,ザ,ざ,shop,sa,sa,,,,,,1,1,,,
,さあ,さあ,shop,sa,sa,,,,,,1,1,,,
,サーモン,さーもん,shop,sa,sa,,,,,,1,1,,,
,サイ,さい,shop,sa,sa,,,,,,1,1,,,
,最強,さいきょう,shop,sa,sa,,,,,,1,1,,,
,サイコ,さいこ,shop,sa,sa,,,,,,1,1,,,
,最高,さいこう,shop,sa,sa,,,,,,1,1,,,
,最高だぜ！！,さいこうだぜ！！,shop,sa,sa,,,,,,1,1,,,
,最弱,さいじゃく,shop,sa,sa,,,,,,1,1,,,
,最低,さいてい,shop,sa,sa,,,,,,1,1,,,
,酒,さけ,shop,sa,sa,,,,,,1,1,,,
,鮭,さけ,shop,sa,sa,,,,,,1,1,,,
,避け,さけ,shop,sa,sa,,,,,,1,1,,,
,雑魚,ざこ,shop,sa,sa,,,,,,1,1,,,
,笹,ささ,shop,sa,sa,,,,,,1,1,,,
,刺す,さす,shop,sa,sa,,,,,,1,1,,,
,流石,さすが,shop,sa,sa,,,,,,1,1,,,
,刺せ,させ,shop,sa,sa,,,,,,1,1,,,
,誘う,さそう,shop,sa,sa,,,,,,1,1,,,
,サターン,さたーん,shop,sa,sa,,,,,,1,1,,,
,サタデー,さたでー,shop,sa,sa,,,,,,1,1,,,
,薩摩,さつま,shop,sa,sa,,,,,,1,1,,,
,札幌,さっぽろ,shop,sa,sa,,,,,,1,1,,,
,サテライト,さてらいと,shop,sa,sa,,,,,,1,1,,,
,砂糖,ざとう,shop,sa,sa,,,,,,1,1,,,
,さながら,さながら,shop,sa,sa,,,,,,1,1,,,
,サニー,さにー,shop,sa,sa,,,,,,1,1,,,
,様,さま,shop,sa,sa,,,,,,1,1,,,
,寒い,さむい,shop,sa,sa,,,,,,1,1,,,
,鮫,さめ,shop,sa,sa,,,,,,1,1,,,
,サモナー,さもなー,shop,sa,sa,,,,,,1,1,,,
,サモン,さもん,shop,sa,sa,,,,,,1,1,,,
,左様,さよう,shop,sa,sa,,,,,,1,1,,,
,更に,さらに,shop,sa,sa,,,,,,1,1,,,
,猿,ざる,shop,sa,sa,,,,,,1,1,,,
,沢,さわ,shop,sa,sa,,,,,,1,1,,,
,さん,さん,shop,sa,sa,,,,,,1,1,,,
,サン,さん,shop,sa,sa,,,,,,1,1,,,
,サンシャイン,さんしゃいん,shop,sa,sa,,,,,,1,1,,,
,三,さん,shop,sa,sa,,,,,,1,1,,,
,サンダー,さんだー,shop,sa,sa,,,,,,1,1,,,
,サンデー,さんでー,shop,sa,sa,,,,,,1,1,,,
,サンライト,さんらいと,shop,sa,sa,,,,,,1,1,,,
,し,し,shop,sa,si,,,,,,1,1,,,
,シ,し,shop,sa,si,,,,,,1,1,,,
,じ,じ,shop,sa,si,,,,,,1,1,,,
,ジ,じ,shop,sa,si,,,,,,1,1,,,
,市,し,shop,sa,si,,,,,,1,1,,,
,氏,し,shop,sa,si,,,,,,1,1,,,
,士,し,shop,sa,si,,,,,,1,1,,,
,シアー,しあー,shop,sa,si,,,,,,1,1,,,
,シー,しー,shop,sa,si,,,,,,1,1,,,
,シースルー,しーするー,shop,sa,si,,,,,,1,1,,,
,シーラカンス,しーらかんす,shop,sa,si,,,,,,1,1,,,
,シールド,しーるど,shop,sa,si,,,,,,1,1,,,
,シーン,しーん,shop,sa,si,,,,,,1,1,,,
,ジーン,じーん,shop,sa,si,,,,,,1,1,,,
,シェパード,しぇぱーど,shop,sa,si,,,,,,1,1,,,
,塩ラーメン,しおらーめん,shop,sa,si,,,,,,1,1,,,
,鹿,しか,shop,sa,si,,,,,,1,1,,,
,式,しき,shop,sa,si,,,,,,1,1,,,
,指揮,しき,shop,sa,si,,,,,,1,1,,,
,しぐさ,しぐさ,shop,sa,si,,,,,,1,1,,,
,時雨,しぐれ,shop,sa,si,,,,,,1,1,,,
,仕事,しごと,shop,sa,si,,,,,,1,1,,,
,シスター,しすたー,shop,sa,si,,,,,,1,1,,,
,システム,しすてむ,shop,sa,si,,,,,,1,1,,,
,姿勢,しせい,shop,sa,si,,,,,,1,1,,,
,紫蘇,しそ,shop,sa,si,,,,,,1,1,,,
,始祖,しそ,shop,sa,si,,,,,,1,1,,,
,始祖鳥,しそちょう,shop,sa,si,,,,,,1,1,,,
,下,した,shop,sa,si,,,,,,1,1,,,
,支度,したく,shop,sa,si,,,,,,1,1,,,
,質,しつ,shop,sa,si,,,,,,1,1,,,
,室,しつ,shop,sa,si,,,,,,1,1,,,
,失礼,しつれい,shop,sa,si,,,,,,1,1,,,
,使途,しと,shop,sa,si,,,,,,1,1,,,
,品川,しながわ,shop,sa,si,,,,,,1,1,,,
,渋谷,しぶや,shop,sa,si,,,,,,1,1,,,
,縞,しま,shop,sa,si,,,,,,1,1,,,
,島,じま,shop,sa,si,,,,,,1,1,,,
,ジャッジメント,じゃっじめんと,shop,sa,si,,,,,,1,1,,,
,ジャマイカ,じゃまいか,shop,sa,si,,,,,,1,1,,,
,ジャンプ,じゃんぷ,shop,sa,si,,,,,,1,1,,,
,シューティング,しゅーてぃんぐ,shop,sa,si,,,,,,1,1,,,
,シュート,しゅーと,shop,sa,si,,,,,,1,1,,,
,銃,じゅう,shop,sa,si,,,,,,1,1,,,
,重,じゅう,shop,sa,si,,,,,,1,1,,,
,十,じゅう,shop,sa,si,,,,,,1,1,,,
,主催,しゅさい,shop,sa,si,,,,,,1,1,,,
,出場者,しゅつじょうしゃ,shop,sa,si,,,,,,1,1,,,
,準優勝,準優勝,shop,sa,si,,,,,,1,1,,,
,巡洋,じゅんよう,shop,sa,si,,,,,,1,1,,,
,ショート,しょーと,shop,sa,si,,,,,,1,1,,,
,小学生,しょうがくせい,shop,sa,si,,,,,,1,1,,,
,小学生は,しょうがくせいは,shop,sa,si,,,,,,1,1,,,
,上級者,じょうきゅうしゃ,shop,sa,si,,,,,,1,1,,,
,昇竜,しょうりゅう,shop,sa,si,,,,,,1,1,,,
,蜀,しょく,shop,sa,si,,,,,,1,1,,,
,初心者,しょしんしゃ,shop,sa,si,,,,,,1,1,,,
,知らない,しらない,shop,sa,si,,,,,,1,1,,,
,白,しろ,shop,sa,si,,,,,,1,1,,,
,城,しろ,shop,sa,si,,,,,,1,1,,,
,信号機,しんごうき,shop,sa,si,,,,,,1,1,,,
,信者,しんじゃ,shop,sa,si,,,,,,1,1,,,
,新宿,しんじゅく,shop,sa,si,,,,,,1,1,,,
,シンセサイザー,しんせさいざー,shop,sa,si,,,,,,1,1,,,
,審判,しんぱん,shop,sa,si,,,,,,1,1,,,
,す,す,shop,sa,su,,,,,,1,1,,,
,ス,す,shop,sa,su,,,,,,1,1,,,
,ず,ず,shop,sa,su,,,,,,1,1,,,
,ズ,ず,shop,sa,su,,,,,,1,1,,,
,スーパー,すーぱー,shop,sa,su,,,,,,1,1,,,
,水,すい,shop,sa,su,,,,,,1,1,,,
,スカ,すか,shop,sa,su,,,,,,1,1,,,
,スカーレット,すかーれっと,shop,sa,su,,,,,,1,1,,,
,好き,ずき,shop,sa,su,,,,,,1,1,,,
,隙,すき,shop,sa,su,,,,,,1,1,,,
,スクール,すくーる,shop,sa,su,,,,,,1,1,,,
,スケルトン,すけるとん,shop,sa,su,,,,,,1,1,,,
,スコール,すこーる,shop,sa,su,,,,,,1,1,,,
,スサノオ,すさのお,shop,sa,su,,,,,,1,1,,,
,寿司,ずし,shop,sa,su,,,,,,1,1,,,
,スタンド,すたんど,shop,sa,su,,,,,,1,1,,,
,ストーン,すとーん,shop,sa,su,,,,,,1,1,,,
,ストリート,すとりーと,shop,sa,su,,,,,,1,1,,,
,砂,すな,shop,sa,su,,,,,,1,1,,,
,スナイパー,すないぱー,shop,sa,su,,,,,,1,1,,,
,スノー,すのー,shop,sa,su,,,,,,1,1,,,
,すまない,すまない,shop,sa,su,,,,,,1,1,,,
,すみません,すみません,shop,sa,su,,,,,,1,1,,,
,住む,すむ,shop,sa,su,,,,,,1,1,,,
,済む,すむ,shop,sa,su,,,,,,1,1,,,
,棲む,すむ,shop,sa,su,,,,,,1,1,,,
,スメル,すめる,shop,sa,su,,,,,,1,1,,,
,相撲,すもう,shop,sa,su,,,,,,1,1,,,
,相撲取り,すもうとり,shop,sa,su,,,,,,1,1,,,
,スモウレスラー,すもうれすらー,shop,sa,su,,,,,,1,1,,,
,スラッシュ,すらっしゅ,shop,sa,su,,,,,,1,1,,,
,スラム,すらむ,shop,sa,su,,,,,,1,1,,,
,スリル,すりる,shop,sa,su,,,,,,1,1,,,
,スルメ,するめ,shop,sa,su,,,,,,1,1,,,
,スレ,すれ,shop,sa,su,,,,,,1,1,,,
,スレイヤー,すれいやー,shop,sa,su,,,,,,1,1,,,
,スレッド,すれっど,shop,sa,su,,,,,,1,1,,,
,スロット,すろっと,shop,sa,su,,,,,,1,1,,,
,寸止め,すんどめ,shop,sa,su,,,,,,1,1,,,
,せ,せ,shop,sa,se,,,,,,1,1,,,
,セ,せ,shop,sa,se,,,,,,1,1,,,
,ぜ,ぜ,shop,sa,se,,,,,,1,1,,,
,ゼ,ぜ,shop,sa,se,,,,,,1,1,,,
,背,せ,shop,sa,se,,,,,,1,1,,,
,勢,ぜい,shop,sa,se,,,,,,1,1,,,
,世紀末,せいきまつ,shop,sa,se,,,,,,1,1,,,
,生徒,せいと,shop,sa,se,,,,,,1,1,,,
,生徒会,せいとかい,shop,sa,se,,,,,,1,1,,,
,生徒会長,せいとかいちょう,shop,sa,se,,,,,,1,1,,,
,世界,せかい,shop,sa,se,,,,,,1,1,,,
,関ヶ原,せきがはら,shop,sa,se,,,,,,1,1,,,
,セコンド,せこんど,shop,sa,se,,,,,,1,1,,,
,背筋,せすじ,shop,sa,se,,,,,,1,1,,,
,世田谷,せたがや,shop,sa,se,,,,,,1,1,,,
,世知辛い,せちがらい,shop,sa,se,,,,,,1,1,,,
,説明,せつめい,shop,sa,se,,,,,,1,1,,,
,背中,せなか,shop,sa,se,,,,,,1,1,,,
,背伸び,せのび,shop,sa,se,,,,,,1,1,,,
,蝉,ぜみ,shop,sa,se,,,,,,1,1,,,
,セリ,せり,shop,sa,se,,,,,,1,1,,,
,セル,せる,shop,sa,se,,,,,,1,1,,,
,セロハンテープ,せろはんてーぷ,shop,sa,se,,,,,,1,1,,,
,戦艦,せんかん,shop,sa,se,,,,,,1,1,,,
,全国大会,ぜんこくたいかい,shop,sa,se,,,,,,1,1,,,
,仙台,せんだい,shop,sa,se,,,,,,1,1,,,
,先代,せんだい,shop,sa,se,,,,,,1,1,,,
,戦力,せんりょく,shop,sa,se,,,,,,1,1,,,
,全力,ぜんりょく,shop,sa,se,,,,,,1,1,,,
,そ,そ,shop,sa,so,,,,,,1,1,,,
,ソ,そ,shop,sa,so,,,,,,1,1,,,
,ぞ,ぞ,shop,sa,so,,,,,,1,1,,,
,ゾ,ぞ,shop,sa,so,,,,,,1,1,,,
,ソーシャル,そーしゃる,shop,sa,so,,,,,,1,1,,,
,即,そく,shop,sa,so,,,,,,1,1,,,
,速,そく,shop,sa,so,,,,,,1,1,,,
,ソケット,そけっと,shop,sa,so,,,,,,1,1,,,
,そこ,そこ,shop,sa,so,,,,,,1,1,,,
,素材,そざい,shop,sa,so,,,,,,1,1,,,
,そちら,そちら,shop,sa,so,,,,,,1,1,,,
,ソナー,そなー,shop,sa,so,,,,,,1,1,,,
,ソニック,そにっく,shop,sa,so,,,,,,1,1,,,
,その,その,shop,sa,so,,,,,,1,1,,,
,素朴,そぼく,shop,sa,so,,,,,,1,1,,,
,空,そら,shop,sa,so,,,,,,1,1,,,
,ソルジャー,そるじゃー,shop,sa,so,,,,,,1,1,,,
,そろそろ,そろそろ,shop,sa,so,,,,,,1,1,,,
,尊敬,そんけい,shop,sa,so,,,,,,1,1,,,
,そんな,そんな,shop,sa,so,,,,,,1,1,,,
,そんなことより,そんなことより,shop,sa,so,,,,,,1,1,,,
,た,た,shop,ta,ta,,,,,,1,1,,,
,タ,た,shop,ta,ta,,,,,,1,1,,,
,だ,だ,shop,ta,ta,,,,,,1,1,,,
,ダ,だ,shop,ta,ta,,,,,,1,1,,,
,ダーク,だーく,shop,ta,ta,,,,,,1,1,,,
,鯛,たい,shop,ta,ta,,,,,,1,1,,,
,大会,たいかい,shop,ta,ta,,,,,,1,1,,,
,大学生,だいがくせい,shop,ta,ta,,,,,,1,1,,,
,大学生は,だいがくせいは,shop,ta,ta,,,,,,1,1,,,
,対戦会,たいせんかい,shop,ta,ta,,,,,,1,1,,,
,大好き,だいすき,shop,ta,ta,,,,,,1,1,,,
,大ピンチ,だいぴんち,shop,ta,ta,,,,,,1,1,,,
,田植え,たうえ,shop,ta,ta,,,,,,1,1,,,
,倒す,たおす,shop,ta,ta,,,,,,1,1,,,
,鷹,たか,shop,ta,ta,,,,,,1,1,,,
,滝,たき,shop,ta,ta,,,,,,1,1,,,
,拓,たく,shop,ta,ta,,,,,,1,1,,,
,竹,だけ,shop,ta,ta,,,,,,1,1,,,
,蛸,だこ,shop,ta,ta,,,,,,1,1,,,
,黄昏,たそがれ,shop,ta,ta,,,,,,1,1,,,
,戦い,たたかい,shop,ta,ta,,,,,,1,1,,,
,太刀,たち,shop,ta,ta,,,,,,1,1,,,
,絶つ,たつ,shop,ta,ta,,,,,,1,1,,,
,ダッシュ,だっしゅ,shop,ta,ta,,,,,,1,1,,,
,竜巻,たつまき,shop,ta,ta,,,,,,1,1,,,
,立て,たて,shop,ta,ta,,,,,,1,1,,,
,盾,だて,shop,ta,ta,,,,,,1,1,,,
,タニシ,たにし,shop,ta,ta,,,,,,1,1,,,
,狸,たぬき,shop,ta,ta,,,,,,1,1,,,
,多摩,たま,shop,ta,ta,,,,,,1,1,,,
,魂,たましい,shop,ta,ta,,,,,,1,1,,,
,溜め,ため,shop,ta,ta,,,,,,1,1,,,
,樽,たる,shop,ta,ta,,,,,,1,1,,,
,垂れ,たれ,shop,ta,ta,,,,,,1,1,,,
,タロイモ,たろいも,shop,ta,ta,,,,,,1,1,,,
,タンバリン,たんばりん,shop,ta,ta,,,,,,1,1,,,
,ち,ち,shop,ta,ti,,,,,,1,1,,,
,チ,ち,shop,ta,ti,,,,,,1,1,,,
,ぢ,ぢ,shop,ta,ti,,,,,,1,1,,,
,ヂ,ぢ,shop,ta,ti,,,,,,1,1,,,
,血,ち,shop,ta,ti,,,,,,1,1,,,
,地,ち,shop,ta,ti,,,,,,1,1,,,
,値,ち,shop,ta,ti,,,,,,1,1,,,
,チア,ちあ,shop,ta,ti,,,,,,1,1,,,
,知恵,ぢえ,shop,ta,ti,,,,,,1,1,,,
,地下,ちか,shop,ta,ti,,,,,,1,1,,,
,地球,ちきゅう,shop,ta,ti,,,,,,1,1,,,
,遅刻,ちこく,shop,ta,ti,,,,,,1,1,,,
,父,ちち,shop,ta,ti,,,,,,1,1,,,
,千歳,ちとせ,shop,ta,ti,,,,,,1,1,,,
,ちなみ,ちなみ,shop,ta,ti,,,,,,1,1,,,
,血塗られた,ちぬられた,shop,ta,ti,,,,,,1,1,,,
,血まみれ,ちまみれ,shop,ta,ti,,,,,,1,1,,,
,血みどろ,ちみどろ,shop,ta,ti,,,,,,1,1,,,
,チャレンジ,ちゃれんじ,shop,ta,ti,,,,,,1,1,,,
